,rotation,texture_u,texture_g,texture_r,texture_i,texture_z
10751,ccw,2.005671,262.2989,165.7966,73.28681,3.3461260000000004
10752,ccw,0.4322562,138.9383,89.62521,40.79935,0.3653816
10753,ccw,0.1804011,123.3857,120.5042,54.02159,1.093345
10754,ccw,0.2856763,378.9292,381.2674,206.9392,5.658677
10755,ccw,0.43876990000000005,114.1884,170.2502,92.82194,1.650944
10756,ccw,0.7181974,157.8812,202.5122,103.26,2.08584
10757,ccw,0.2539808,81.45896,152.0817,93.04095,2.5873720000000002
10758,ccw,0.008133649,6.146401,10.15152,4.665728,0.0173688
10759,ccw,10.71044,609.2098,459.6571,263.2913,6.9101360000000005
10760,ccw,0.3907522,23.87702,44.52962,28.1399,0.20367349999999998
10761,ccw,3.5654519999999996,1062.328,303.9312,123.56299999999999,1.327412
10762,ccw,0.5356274000000001,43.14679,11.50557,5.156339,0.2657682
10763,ccw,1.008426,67.81891,31.57718,11.59635,0.6222906
10764,ccw,20.06861,2747.15,1093.886,667.3944,23.63924
10765,ccw,0.9615107,283.2445,444.2992,216.662,4.528746
10766,ccw,5.396738,4.849774,26.30322,2.882761,0.02808945
10767,ccw,0.8018472,65.20566,24.75145,5.5430019999999995,0.38963159999999997
10768,ccw,0.13951739999999999,46.93724,20.04503,5.116765,0.42283760000000004
10769,ccw,16.60655,437.8011,314.1736,66.13853,6.810465
10770,ccw,2.715039,619.2925,817.0852,307.1427,26.9102
10771,ccw,0.5040486,280.1028,291.224,72.91724,2.747188
10772,ccw,2.942291,123.4951,67.59940999999999,43.80359,1.271854
10773,ccw,0.18804289999999999,28.408590000000004,40.8109,17.98882,0.32160140000000004
10774,ccw,1.3358450000000002,67.49722,38.59604,11.24901,0.7256633000000001
10775,ccw,73.58952,4229.021,3933.778,1337.641,126.7684
10776,ccw,0.5881566,61.13609,74.74909,23.900170000000003,1.957888
10777,ccw,0.4822817,61.3088,71.11898000000001,11.439160000000001,0.1583997
