,rotation,ra,dec,cx,cy,cz,raErr,decErr,raDecCorr,b,l,offsetRa_u,offsetRa_g,offsetRa_r,offsetRa_i,offsetRa_z,offsetDec_u,offsetDec_g,offsetDec_r,offsetDec_i,offsetDec_z
3163,cw,170.0576027,33.50323704,-0.82133167,0.14397168,0.5519841,0.048745414,0.047313972999999995,0.009119934,69.36112837,189.3966354,0.06862,-0.0323,0,0.00366,0.00427,0.013590000000000001,-0.007390000000000001,0,0.00231,0.01296
3164,cw,162.98704730000003,32.95649544,-0.80236441,0.24550578,0.54400208,0.051739169,0.060113097000000004,-0.069669566,63.58718876,192.89926640000002,0.02405,-0.02109,0,0.022000000000000002,0.02518,-0.026260000000000002,0.0011300000000000001,0,0.00075,-0.029660000000000002
3165,cw,168.7368344,33.82564806,-0.81473575,0.16225565,0.55666754,0.048367013,0.053918345,-0.03639865,68.21940354,189.13734540000002,-0.12861,-0.010159999999999999,0,-0.00331,-0.0016300000000000002,-0.0852,0.01073,0,0.04473,0.00932
3166,cw,169.2845225,33.9196291,-0.81535124,0.15429034,0.55802943,0.046173512,0.050604145,-0.029592467999999997,68.64534728,188.6343316,-0.08573,-0.28722,0,0.011040000000000001,-0.02661,-0.09017,-0.026810000000000004,0,0.0061200000000000004,-0.01294
3167,cw,162.62664630000003,33.14622422,-0.79908066,0.25000864,0.54677763,0.04966746,0.047958279000000006,0.016498037,63.27010451,192.5339139,0.02484,-0.0050100000000000006,0,0.01314,0.01015,-0.05437,0.012240000000000001,0,0.01091,0.030560000000000004
3168,cw,169.965207,34.33516121,-0.81312006,0.14388418,0.5640329000000001,0.051312135,0.047865294,0.021427664,69.10041863,187.15813119999999,0.11845,0.00296,0,0.023809999999999998,0.03163,-0.00238,0.01454,0,0.00621,0.0058
3169,cw,162.5454094,33.99205203,-0.79093851,0.24869295,0.5590779,0.053951509,0.046393826,0.071656148,63.11823731,190.6826544,0.14197,0.01602,0,0.02008,0.02222,-0.06001,-0.01702,0,-0.01091,0.008320000000000001
3170,cw,172.5038675,33.40312902,-0.82768317,0.10890972,0.55052633,0.054539847999999995,0.051273244,0.015707504,71.37188417,188.3123197,-0.3252,-0.01932,0,0.03171,0.01171,-0.30354000000000003,-0.04819,0,-0.01803,-0.02189
3171,cw,177.338746,33.86294186,-0.8294773000000001,0.038555,0.55720815,0.054204885,0.046309927,0.024391036,75.04988588,182.39454019999997,0.1401,0.01235,0,0.024480000000000002,-0.01286,-0.29336,0.029039999999999996,0,-0.04038,-0.0634
3172,cw,200.3047635,33.07928201,-0.7858480999999999,-0.29076831,0.54579901,0.047141574000000006,0.047592419000000004,0.0029861959999999996,81.23572503,77.48616724,0.12262999999999999,0.030369999999999998,0,0.00505,-0.00465,0.17582,0.023119999999999998,0,0.01433,0.013730000000000001
