,rotation,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,lnLStar_u,lnLStar_g,lnLStar_r,lnLStar_i,lnLStar_z,probPSF_u,probPSF_g,probPSF_r,probPSF_i,probPSF_z
3514,cw,20.8789,19.17659,18.32121,17.85949,17.45169,0.07179719999999999,0.02305358,0.01594283,0.01722606,0.01590809,-439.2252,-23080.98,-37946.87,-30085.92,-6589.28,0,0,0,0,0
3515,cw,20.83761,19.79186,19.41542,19.0232,18.80538,0.06990633,0.025181799999999997,0.01894854,0.02101859,0.03555877,-231.3993,-8612.373,-6961.382,-5664.842,-994.4472,0,0,0,0,0
3516,cw,21.12741,19.34541,18.49425,18.0688,17.83475,0.08981919,0.01862063,0.01271521,0.01774661,0.02933698,-565.1695,-24635.21,-33902.82,-23866.52,-4130.361,0,0,0,0,0
3517,cw,20.711029999999997,19.03621,18.34388,17.97984,17.70553,0.06441459,0.01874378,0.0149935,0.01666706,0.02018883,-207.976,-14434.17,-20537.53,-13674.52,-1843.63,0,0,0,0,0
3518,cw,20.3522,19.25089,18.77039,18.41851,18.21378,0.04553809,0.02076502,0.01610973,0.01790755,0.02651857,-503.0846,-15206.89,-17314.31,-10540.3,-1525.761,0,0,0,0,0
3519,cw,18.03165,17.20097,16.56417,16.22404,15.98634,0.0289605,0.01427305,0.01695836,0.01519714,0.01708936,-1376.9,-85640.49,-104523.1,-88835.52,-24596.41,0,0,0,0,0
3520,cw,20.49075,19.432920000000003,18.68212,18.241770000000002,17.948970000000003,0.06941176,0.01673798,0.01954519,0.01796317,0.02616797,-360.4198,-15125.64,-17292.6,-13225.88,-2092.216,0,0,0,0,0
3521,cw,18.75021,17.4718,16.65098,16.38058,15.944370000000001,0.026379800000000002,0.015358000000000002,0.01199323,0.01961502,0.0196137,-5157.652,-98054.17,-126439.1,-123625.5,-43944.29,0,0,0,0,0
3522,cw,19.088829999999998,18.31371,17.973,17.9563,17.86073,0.03893078,0.02863316,0.01577113,0.02988696,0.02720167,-1772.45,-28103.12,-26188.38,-14197.31,-1602.723,0,0,0,0,0
3523,cw,20.671879999999998,19.110329999999998,18.44334,18.06701,17.68179,0.06906898,0.02373601,0.01842066,0.01940214,0.02531117,-1447.001,-43850.33,-59990.1,-56971.1,-9609.89,0,0,0,0,0
