,rotation,sky_u,sky_g,sky_r,sky_i,sky_z,skyErr_u,skyErr_g,skyErr_r,skyErr_i,skyErr_z
1594,cw,1.4699999999999999e-09,1.89e-09,4.78e-09,8.25e-09,2.3900000000000002e-08,3.4900000000000004e-11,4.3600000000000003e-11,5.58e-11,9.740000000000001e-11,1e-10
1595,cw,1.31e-09,1.6699999999999998e-09,4.41e-09,8.23e-09,2.5099999999999996e-08,1.13e-12,4.67e-13,7.229999999999999e-13,1.28e-12,4.309999999999999e-12
1596,cw,1.3300000000000002e-09,1.6899999999999997e-09,4.44e-09,8.42e-09,2.49e-08,2.6899999999999996e-11,2.04e-11,4.0400000000000004e-11,5.3499999999999996e-11,1.12e-10
1597,cw,1.55e-09,1.92e-09,4.7e-09,8.49e-09,2.49e-08,1.46e-10,4.8799999999999996e-11,7.23e-11,8.86e-11,1.5900000000000002e-10
1598,cw,1.3699999999999998e-09,1.7399999999999998e-09,4.41e-09,8.03e-09,2.3500000000000002e-08,8.47e-11,7.28e-11,3.52e-11,6.7e-11,9.16e-11
1599,cw,1.3400000000000001e-09,1.7000000000000001e-09,4.4e-09,7.95e-09,2.3399999999999998e-08,1.1e-12,4.66e-13,7.140000000000002e-13,1.2e-12,4.16e-12
1600,cw,1.36e-09,1.7300000000000002e-09,4.39e-09,7.89e-09,2.3100000000000002e-08,3.14e-11,8.83e-11,7.28e-11,9.42e-11,1.12e-10
1601,cw,1.3900000000000002e-09,1.7300000000000002e-09,4.31e-09,7.1499999999999995e-09,2.11e-08,1.15e-12,4.67e-13,7.229999999999999e-13,1.19e-12,3.95e-12
1602,cw,1.4400000000000002e-09,1.7300000000000002e-09,4.3700000000000004e-09,7.58e-09,2.2999999999999998e-08,1.56e-11,4.7e-11,9.97e-11,1.6000000000000002e-10,1.41e-10
1603,cw,1.4699999999999999e-09,1.82e-09,4.43e-09,7.72e-09,2.32e-08,1.4400000000000001e-12,1.8599999999999998e-10,1.4e-10,1.35e-10,3.98e-11
1604,cw,1.3400000000000001e-09,1.71e-09,4.39e-09,7.87e-09,2.4e-08,3.36e-11,1.2699999999999999e-11,3.33e-11,3.62e-11,5.970000000000001e-11
1605,cw,1.3400000000000001e-09,1.6800000000000002e-09,4.39e-09,8.040000000000001e-09,2.5499999999999997e-08,1.4099999999999998e-12,9.549999999999999e-13,4.92e-12,2.14e-12,4.57e-12
1606,cw,1.35e-09,1.7000000000000001e-09,4.42e-09,8.23e-09,2.45e-08,4.3799999999999994e-11,7.2e-11,8.709999999999999e-11,1.29e-10,1.2e-10
1607,cw,1.3800000000000002e-09,1.79e-09,4.4799999999999994e-09,8.199999999999999e-09,2.44e-08,6.77e-11,1.9099999999999999e-10,4.48e-10,6.72e-10,7.27e-10
1608,cw,1.5e-09,1.75e-09,4.28e-09,7.290000000000001e-09,2.18e-08,1.4099999999999998e-12,5.889999999999999e-13,7.26e-13,1.1100000000000001e-12,4.39e-12
1609,cw,1.45e-09,1.75e-09,4.1999999999999996e-09,7.290000000000001e-09,2.13e-08,1.84e-12,1.2099999999999999e-11,2.7399999999999997e-11,2.2199999999999998e-11,6.759999999999999e-11
1610,cw,1.0499999999999999e-09,1.7199999999999999e-09,3.5e-09,5.550000000000001e-09,1.51e-08,4.7e-11,1.11e-10,4.64e-11,8.6e-11,1.17e-10
1611,cw,1.06e-09,1.6699999999999998e-09,3.55e-09,5.789999999999999e-09,1.53e-08,1.07e-12,3.3e-12,6.87e-13,2.92e-11,3.39e-12
1612,cw,1.4400000000000002e-09,2.6e-09,5e-09,7.67e-09,1.86e-08,1.0800000000000002e-09,3.3299999999999995e-09,7.070000000000001e-09,9.41e-09,1.1000000000000001e-08
1613,cw,1.09e-09,1.79e-09,3.71e-09,6e-09,1.65e-08,1.29e-12,8.530000000000001e-10,1.6699999999999998e-09,2.7100000000000004e-09,4.86e-10
1614,cw,1.14e-09,1.71e-09,3.65e-09,5.97e-09,1.65e-08,9.599999999999999e-11,1.1400000000000001e-10,1.2e-10,4.79e-11,2e-10
1615,cw,1.0499999999999999e-09,1.7399999999999998e-09,3.7200000000000004e-09,5.679999999999999e-09,1.6e-08,3.5399999999999995e-11,6.93e-11,1.26e-10,1.38e-10,1.27e-10
1616,cw,1.0800000000000002e-09,1.7399999999999998e-09,3.75e-09,5.8499999999999994e-09,1.65e-08,7.909999999999999e-11,9.84e-11,1.53e-10,2.01e-10,2.2700000000000002e-10
1617,cw,1.02e-09,1.6800000000000002e-09,3.58e-09,5.6700000000000005e-09,1.57e-08,5.1999999999999995e-11,8.06e-11,1.78e-10,3.2199999999999997e-10,2.07e-10
1618,cw,1.0499999999999999e-09,1.6899999999999997e-09,3.55e-09,5.620000000000001e-09,1.6e-08,6.84e-11,4.08e-11,6.78e-11,7.99e-11,1.03e-10
1619,cw,1.01e-09,1.66e-09,3.5600000000000005e-09,5.7799999999999995e-09,1.65e-08,1.19e-12,2.4399999999999998e-11,5.0100000000000007e-11,1.0400000000000001e-09,5.67e-12
1620,cw,1.0400000000000001e-09,1.6699999999999998e-09,3.63e-09,5.9499999999999995e-09,1.62e-08,1.32e-12,4.57e-13,7.36e-13,1.14e-12,5.59e-12
1621,cw,1.07e-09,1.71e-09,3.5600000000000005e-09,5.71e-09,1.58e-08,1.18e-11,2.0699999999999997e-11,5.6799999999999994e-11,8.06e-11,5.0100000000000007e-11
1622,cw,1.1199999999999999e-09,1.7300000000000002e-09,3.6700000000000004e-09,5.760000000000001e-09,1.57e-08,1.88e-10,1.27e-10,1.29e-10,1.97e-10,3.1600000000000005e-10
1623,cw,1.1699999999999999e-09,1.8600000000000002e-09,3.81e-09,6.03e-09,1.62e-08,2.78e-11,2.93e-11,2.47e-11,2.93e-11,3.77e-11
1624,cw,1.4300000000000002e-09,1.66e-09,5.05e-09,9.379999999999999e-09,2.93e-08,2.4400000000000004e-10,1.1599999999999999e-10,2.96e-10,4.76e-10,7.920000000000001e-10
1625,cw,1.6899999999999997e-09,1.8100000000000002e-09,4.83e-09,8.83e-09,2.98e-08,2.03e-11,7.33e-11,8.920000000000001e-11,8.81e-11,7.93e-11
1626,cw,1.6800000000000002e-09,1.84e-09,4.95e-09,9.96e-09,3.06e-08,1.32e-10,1.31e-10,2.1499999999999998e-10,3.19e-10,2.75e-10
1627,cw,1.7199999999999999e-09,1.87e-09,5.04e-09,1.01e-08,3.09e-08,6.6e-11,4.53e-10,2.1600000000000004e-09,4.33e-09,3.81e-09
