,rotation,type_u,type_g,type_r,type_i,type_z
211,cw,3,3,3,3,3
212,cw,3,3,3,3,3
213,cw,3,3,3,3,3
214,cw,3,3,3,3,3
215,cw,3,3,3,3,3
216,cw,3,3,3,3,3
217,cw,3,3,3,3,3
218,cw,3,3,3,3,3
219,cw,3,3,3,3,3
220,cw,3,3,3,3,3
221,cw,3,3,3,3,3
222,cw,3,3,3,3,3
223,cw,3,3,3,3,3
224,cw,3,3,3,3,3
225,cw,3,3,3,3,3
226,cw,3,3,3,3,3
227,cw,3,3,3,3,3
228,cw,3,3,3,3,3
229,cw,3,3,3,3,3
230,cw,3,3,3,3,3
231,cw,3,3,3,3,3
232,cw,3,3,3,3,3
233,cw,3,3,3,3,3
234,cw,3,3,3,3,3
235,cw,3,3,3,3,3
236,cw,3,3,3,3,3
237,cw,3,3,3,3,3
238,cw,3,3,3,3,3
239,cw,3,3,3,3,3
240,cw,3,3,3,3,3
241,cw,3,3,3,3,3
242,cw,3,3,3,3,3
243,cw,3,3,3,3,3
244,cw,3,3,3,3,3
245,cw,3,3,3,3,3
246,cw,3,3,3,3,3
247,cw,3,3,3,3,3
248,cw,3,3,3,3,3
249,cw,3,3,3,3,3
250,cw,3,3,3,3,3
251,cw,3,3,3,3,3
252,cw,3,3,3,3,3
253,cw,3,3,3,3,3
254,cw,3,3,3,3,3
255,cw,3,3,3,3,3
256,cw,3,3,3,3,3
257,cw,3,3,3,3,3
258,cw,3,3,3,3,3
259,cw,3,3,3,3,3
260,cw,3,3,3,3,3
261,cw,3,3,3,3,3
262,cw,3,3,3,3,3
263,cw,3,3,3,3,3
264,cw,3,3,3,3,3
265,cw,3,3,3,3,3
266,cw,3,3,3,3,3
267,cw,3,3,3,3,3
268,cw,3,3,3,3,3
269,cw,3,3,3,3,3
270,cw,3,3,3,3,3
271,cw,3,3,3,3,3
272,cw,3,3,3,3,3
273,cw,3,3,3,3,3
274,cw,3,3,3,3,3
275,cw,3,3,3,3,3
276,cw,3,3,3,3,3
277,cw,3,3,3,3,3
278,cw,3,3,3,3,3
279,cw,3,3,3,3,3
280,cw,3,3,3,3,3
281,cw,3,3,3,3,3
282,cw,3,3,3,3,3
283,cw,3,3,3,3,3
284,cw,3,3,3,3,3
285,cw,3,3,3,3,3
286,cw,3,3,3,3,3
287,cw,3,3,3,3,3
288,cw,3,3,3,3,3
289,cw,3,3,3,3,3
290,cw,3,3,3,3,3
291,cw,3,3,3,3,3
292,cw,3,3,3,3,3
293,cw,3,3,3,3,3
294,cw,3,3,3,3,3
295,cw,3,3,3,3,3
296,cw,3,3,3,3,3
297,cw,3,3,3,3,3
298,cw,3,3,3,3,3
299,cw,3,3,3,3,3
300,cw,3,3,3,3,3
301,cw,3,3,3,3,3
302,cw,3,3,3,3,3
303,cw,3,3,3,3,3
304,cw,3,3,3,3,3
305,cw,3,3,3,3,3
306,cw,3,3,3,3,3
307,cw,3,3,3,3,3
308,cw,3,3,3,3,3
309,cw,3,3,3,3,3
310,cw,3,3,3,3,3
311,cw,3,3,3,3,3
312,cw,3,3,3,3,3
313,cw,3,3,3,3,3
314,cw,3,3,3,3,3
315,cw,3,3,3,3,3
316,cw,3,3,3,3,3
317,cw,3,3,3,3,3
318,cw,3,3,3,3,3
319,cw,3,3,3,3,3
320,cw,3,3,3,3,3
321,cw,3,3,3,3,3
322,cw,3,3,3,3,3
323,cw,3,3,3,3,3
324,cw,3,3,3,3,3
325,cw,3,3,3,3,3
326,cw,3,3,3,3,3
327,cw,3,3,3,3,3
328,cw,3,3,3,3,3
329,cw,3,3,3,3,3
330,cw,3,3,3,3,3
331,cw,3,3,3,3,3
332,cw,3,3,3,3,3
333,cw,3,3,3,3,3
334,cw,3,3,3,3,3
335,cw,3,3,3,3,3
336,cw,3,3,3,3,3
337,cw,3,3,3,3,3
338,cw,3,3,3,3,3
339,cw,3,3,3,3,3
340,cw,3,3,3,3,3
341,cw,3,3,3,3,3
342,cw,3,3,3,3,3
343,cw,3,3,3,3,3
344,cw,3,3,3,3,3
345,cw,3,3,3,3,3
346,cw,3,3,3,3,3
347,cw,3,3,3,3,3
348,cw,3,3,3,3,3
349,cw,3,3,3,3,3
350,cw,3,3,3,3,3
351,cw,3,3,3,3,3
352,cw,3,3,3,3,3
353,cw,3,3,3,3,3
354,cw,3,3,3,3,3
355,cw,3,3,3,3,3
356,cw,3,3,3,3,3
357,cw,3,3,3,3,3
358,cw,3,3,3,3,3
359,cw,3,3,3,3,3
360,cw,3,3,3,3,3
361,cw,3,3,3,3,3
362,cw,3,3,3,3,3
363,cw,3,3,3,3,3
364,cw,3,3,3,3,3
365,cw,3,3,3,3,3
366,cw,6,3,3,3,3
367,cw,3,3,3,3,3
368,cw,3,3,3,3,3
369,cw,3,3,3,3,3
370,cw,3,3,3,3,3
371,cw,3,3,3,3,3
372,cw,3,3,3,3,3
373,cw,3,3,3,3,3
374,cw,3,3,3,3,3
375,cw,3,3,3,3,3
376,cw,3,3,3,3,3
377,cw,3,3,3,3,3
378,cw,3,3,3,3,3
379,cw,3,3,3,3,3
380,cw,3,3,3,3,3
381,cw,3,3,3,3,3
382,cw,3,3,3,3,3
383,cw,3,3,3,3,3
384,cw,3,3,3,3,3
385,cw,3,3,3,3,3
386,cw,3,3,3,3,3
387,cw,3,3,3,3,3
388,cw,3,3,3,3,3
389,cw,3,3,3,3,3
390,cw,3,3,3,3,3
391,cw,3,3,3,3,3
392,cw,3,3,3,3,3
393,cw,3,3,3,3,3
394,cw,3,3,3,3,3
395,cw,3,3,3,3,3
396,cw,3,3,3,3,3
397,cw,3,3,3,3,3
398,cw,3,3,3,3,3
399,cw,3,3,3,3,3
400,cw,3,3,3,3,3
401,cw,3,3,3,3,3
402,cw,3,3,3,3,3
403,cw,3,3,3,3,3
404,cw,3,3,3,3,3
405,cw,3,3,3,3,3
406,cw,3,3,3,3,3
407,cw,3,3,3,3,3
408,cw,3,3,3,3,3
409,cw,3,3,3,3,3
410,cw,3,3,3,3,3
411,cw,3,3,3,3,3
412,cw,3,3,3,3,3
413,cw,3,3,3,3,3
414,cw,3,3,3,3,3
415,cw,3,3,3,3,3
416,cw,3,3,3,3,3
