Date,Run_Number,Num_Epochs_Tot,Train_Loss,Valid_Loss
47:59.0,122,2440,0.057466235,0.073636546
50:29.7,123,2460,0.055654459,0.072173945
53:04.2,124,2480,0.056146631,0.06945116
55:40.1,125,2500,0.058029486,0.079793642
58:20.7,126,2520,0.056507566,0.077518477
00:55.2,127,2540,0.057113873,0.079301515
03:33.6,128,2560,0.054933555,0.076978223
06:07.5,129,2580,0.057103378,0.08007744
08:41.2,130,2600,0.054421433,0.078906287
11:19.9,131,2620,0.056384535,0.079622759
13:52.0,132,2640,0.053707832,0.079958948
16:31.4,133,2660,0.056260242,0.096616616
19:12.4,134,2680,0.057366586,0.086785035
21:52.2,135,2700,0.055608326,0.099950786
24:36.7,136,2720,0.053616403,0.100926676
27:23.9,137,2740,0.05612911,0.091027591
30:12.7,138,2760,0.057764738,0.102345177
32:55.9,139,2780,0.05530209,0.098934895
35:31.2,140,2800,0.056197235,0.09873952
38:40.9,141,2820,0.054883325,0.105711006
41:28.7,142,2840,0.057529344,0.092313017
44:16.1,143,2860,0.054931779,0.089757937
46:55.2,144,2880,0.053337084,0.094938098
49:42.7,145,2900,0.05517138,0.092369218
52:37.8,146,2920,0.05625491,0.103788957
55:26.9,147,2940,0.057052252,0.101525191
58:12.2,148,2960,0.052477345,0.085893373
01:01.2,149,2980,0.053107341,0.095858458
03:51.4,150,3000,0.055663475,0.099120514
06:43.8,151,3020,0.056786563,0.091311068
09:33.5,152,3040,0.053800238,0.086985905
12:21.0,153,3060,0.053625071,0.103112253
15:14.9,154,3080,0.055566022,0.101830715
18:08.1,155,3100,0.056402207,0.099913024
20:59.1,156,3120,0.057341775,0.092530361
23:58.1,157,3140,0.054596836,0.083712269
26:56.0,158,3160,0.05595762,0.097845134
29:56.0,159,3180,0.057441541,0.089795656
32:54.6,160,3200,0.056056422,0.100130118
35:49.7,161,3220,0.056972529,0.09362922
38:43.7,162,3240,0.056855158,0.088093898
41:41.9,163,3260,0.054561826,0.097738216
44:39.3,164,3280,0.055883655,0.091576919
47:40.7,165,3300,0.05592721,0.088542137
50:42.3,166,3320,0.055392656,0.092712225
53:44.3,167,3340,0.056595493,0.095502775
56:49.5,168,3360,0.055815725,0.088497416
59:52.7,169,3380,0.0550645,0.090982424
03:57.2,170,3400,0.057057599,0.098361002
06:58.5,171,3420,0.054641005,0.092245537
10:04.6,172,3440,0.057810713,0.090222135
13:10.9,173,3460,0.05708167,0.093805929
16:14.3,174,3480,0.056743774,0.09505869
19:15.9,175,3500,0.058451405,0.090831625
22:25.7,176,3520,0.056256664,0.106237594
25:34.5,177,3540,0.057377977,0.105278606
28:45.7,178,3560,0.054111383,0.098367506
31:53.9,179,3580,0.054236912,0.09411173
35:06.9,180,3600,0.054172696,0.086423203
38:15.8,181,3620,0.053119033,0.093165759
41:31.8,182,3640,0.052869377,0.100813368
44:42.2,183,3660,0.052888924,0.084096731
47:55.1,184,3680,0.054087488,0.090771576
51:10.8,185,3700,0.052004449,0.084357746
54:33.0,186,3720,0.053983696,0.083622552
58:00.4,187,3740,0.054742319,0.083976137
01:18.4,188,3760,0.053397401,0.083332879
04:36.9,189,3780,0.053976567,0.090442783
08:00.4,190,3800,0.053073594,0.088272101
11:23.2,191,3820,0.051340549,0.082011741
14:51.7,192,3840,0.051868208,0.086734381
18:15.0,193,3860,0.05227184,0.082853042
22:40.4,194,3880,0.049383618,0.084663979
26:09.6,195,3900,0.052544493,0.084346988
29:35.2,196,3920,0.050890113,0.081450957
33:02.6,197,3940,0.054009557,0.080236481
36:39.1,198,3960,0.049825957,0.078568557
40:15.1,199,3980,0.053831392,0.082254709
43:42.3,200,4000,0.052233153,0.080815963
47:11.1,201,4020,0.051828959,0.075355465
50:46.4,202,4040,0.050790928,0.075054681
54:18.0,203,4060,0.05226726,0.08317411
57:46.9,204,4080,0.054450981,0.082328098
01:22.1,205,4100,0.051424942,0.085794219
04:56.9,206,4120,0.051378857,0.087572814
08:31.2,207,4140,0.049710457,0.081759387
12:10.4,208,4160,0.051500577,0.081440367
15:41.6,209,4180,0.052707413,0.08428184
19:13.3,210,4200,0.051154442,0.081644885
