,rotation,flags_u,flags_g,flags_r,flags_i,flags_z
64,cw,2322440000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
65,cw,2252070000000000.0,2252080000000000.0,6755670000000000.0,2252080000000000.0,2252080000000000.0
66,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
67,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
68,cw,275147000000.0,275146000000.0,4503870000000000.0,275146000000.0,275146000000.0
69,cw,275146000000.0,275147000000.0,4503870000000000.0,275146000000.0,275147000000.0
70,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
71,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
72,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
73,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
74,cw,275147000000.0,275147000000.0,4503870000000000.0,275146000000.0,275146000000.0
75,cw,275155000000.0,275146000000.0,4503870000000000.0,275146000000.0,275146000000.0
76,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
77,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
78,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
79,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
80,cw,1.1259e+16,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
81,cw,2252070000000000.0,2410400000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
82,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
83,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
84,cw,2252070000000000.0,275147000000.0,4503870000000000.0,275147000000.0,275146000000.0
85,cw,1.1259e+16,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
86,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2410400000000000.0,2252070000000000.0
87,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
88,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
89,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
90,cw,275146000000.0,275147000000.0,4503870000000000.0,275146000000.0,275146000000.0
