,rotation,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,dered_u,dered_g,dered_r,dered_i,dered_z
6562,cw,16.64576,15.03491,14.23975,13.84435,13.556329999999999,0.010251799999999998,0.0022983260000000003,0.002042215,0.002086371,0.003363265,16.45831,14.896989999999999,14.139710000000001,13.7685,13.50255
6563,cw,17.51751,16.277720000000002,15.6218,15.2122,14.927270000000002,0.01738263,0.0035771920000000003,0.003110552,0.003178335,0.007124101,17.31786,16.13081,15.51525,15.1314,14.86999
6564,cw,18.761879999999998,17.3442,16.54202,16.096870000000003,15.769929999999999,0.03437934,0.005584119,0.00439796,0.00450272,0.01037825,18.49043,17.144470000000002,16.39716,15.987029999999999,15.69205
6565,cw,19.61488,17.63193,16.66914,16.22105,15.85472,0.058845400000000006,0.006132957,0.004395879,0.004404488,0.009467686999999999,19.330820000000003,17.42292,16.51755,16.1061,15.773220000000002
6566,cw,18.13062,16.62143,15.9569,15.5635,15.286220000000002,0.03712879,0.005105058,0.0043476420000000005,0.004700987,0.01226037,17.89132,16.44536,15.8292,15.46667,15.21756
6567,cw,17.2122,15.30579,14.431460000000001,14.00043,13.67363,0.01865515,0.002689183,0.002262885,0.002286766,0.004078712,16.99673,15.14725,14.316479999999999,13.91324,13.61181
6568,cw,18.39817,16.93316,16.23759,15.84569,15.5585,0.04072716,0.004845285,0.004122585,0.00437446,0.01333726,18.25059,16.824579999999997,16.15883,15.78597,15.51615
6569,cw,17.51288,15.585679999999998,14.7696,14.32671,13.99549,0.02428332,0.0029955690000000004,0.002522102,0.002466385,0.005200055,17.34746,15.463970000000002,14.681320000000001,14.25978,13.94803
6570,cw,18.21898,16.76821,16.12162,15.75779,15.48664,0.04321449,0.0050740740000000005,0.004412982,0.004819479000000001,0.01566499,18.06345,16.653760000000002,16.03862,15.69485,15.442020000000001
6571,cw,18.440820000000002,16.77313,15.96039,15.58521,15.272210000000001,0.04114777,0.004727142,0.00381418,0.004025155999999999,0.01064778,18.2832,16.65716,15.876270000000002,15.521429999999999,15.226989999999999
6572,cw,17.93035,16.31779,15.52401,15.106829999999999,14.814910000000001,0.03301126,0.004061607,0.003379885,0.0034426609999999996,0.008956538,17.783620000000003,16.20983,15.4457,15.047460000000001,14.77281
6573,cw,17.80494,16.303379999999997,15.72369,15.41601,15.2119,0.03178054,0.003801068,0.0034905059999999996,0.003919923,0.0125252,17.6431,16.1843,15.63732,15.350520000000001,15.165470000000001
6574,cw,18.471629999999998,16.78721,15.99584,15.55955,15.25715,0.05542457,0.005535129000000001,0.004475023,0.004634864,0.01357052,18.28023,16.646379999999997,15.8937,15.4821,15.20224
6575,cw,17.84764,16.47589,15.86687,15.46998,15.216510000000001,0.02929437,0.0039817509999999995,0.0036140720000000003,0.00379544,0.01112284,17.622429999999998,16.31019,15.74669,15.37885,15.1519
6576,cw,18.22403,16.8039,16.10647,15.683929999999998,15.44164,0.03951146,0.005059532,0.004321134,0.004435328,0.01323643,18.09319,16.707629999999998,16.03665,15.63098,15.4041
6577,cw,17.429560000000002,15.961139999999999,15.26353,14.872779999999999,14.63255,0.02356793,0.0035877220000000002,0.003045721,0.003462057,0.00769046,17.31963,15.88026,15.20486,14.828289999999999,14.60101
6578,cw,18.52884,17.07845,16.3084,15.90289,15.64448,0.0416901,0.006221755,0.004842627,0.0055530269999999994,0.01247466,18.35799,16.95274,16.217229999999997,15.83376,15.595460000000001
