,rotation,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,fiberMagErr_u,fiberMagErr_g,fiberMagErr_r,fiberMagErr_i,fiberMagErr_z
6508,cw,20.09011,19.09797,18.46471,18.091179999999998,17.8447,0.04867782,0.00946636,0.007618953,0.008149795,0.01892086
6509,cw,20.86407,19.42334,18.4381,17.91948,17.563760000000002,0.09979291,0.01062881,0.007328650999999999,0.007354586999999999,0.0149393
6510,cw,19.6354,17.74438,16.88175,16.453329999999998,16.10811,0.02632184,0.003811938,0.002538355,0.00274241,0.005437654
6511,cw,20.56598,19.28719,18.610129999999998,18.23471,17.99951,0.05508482,0.0106999,0.007598306,0.00787405,0.019540900000000003
6512,cw,20.599,19.32585,18.503120000000003,18.04737,17.72883,0.06955665,0.01163685,0.008879751,0.007115939,0.015563200000000001
6513,cw,21.34366,19.82728,18.97626,18.56856,18.20885,0.1315334,0.01408913,0.01069645,0.009970772,0.02462351
6514,cw,20.40798,18.977120000000003,18.2711,17.90393,17.589679999999998,0.06224447,0.009009589,0.006092451,0.006100741999999999,0.01468613
6515,cw,20.60664,19.46482,18.808889999999998,18.459210000000002,18.209139999999998,0.07016106,0.01088419,0.008243018000000001,0.008273568,0.02211482
6516,cw,21.293000000000003,19.77461,18.7227,18.2354,17.88535,0.12673879999999998,0.01154883,0.008502633,0.007105236,0.01718107
6517,cw,19.28529,18.15233,17.55903,17.27811,16.9944,0.02607107,0.006954696999999999,0.006473533,0.00486038,0.009788038
6518,cw,18.5899,16.83321,16.020410000000002,15.609639999999999,15.28559,0.01775246,0.0024117879999999998,0.001807456,0.001719231,0.0030886209999999997
6519,cw,20.39282,19.22018,18.584139999999998,18.19203,17.93267,0.06399827,0.00956328,0.007379681,0.007665848,0.01922646
6520,cw,20.58473,19.36983,18.70384,18.332279999999997,18.09798,0.07195061,0.01209131,0.008206136999999999,0.008586156999999999,0.02200341
6521,cw,21.08018,19.4932,18.577720000000003,18.08843,17.72289,0.1079441,0.01116048,0.007604817,0.006547582,0.01391217
6522,cw,20.22213,18.5232,17.68666,17.29064,16.9635,0.0485672,0.005571301,0.004332868,0.003293855,0.009470885
6523,cw,20.50464,18.91102,18.07065,17.628079999999997,17.29399,0.06759667,0.008633129,0.005823976,0.004450173,0.01193219
6524,cw,21.77221,20.06243,19.04893,18.59571,18.2463,0.1574142,0.0139148,0.01052629,0.00779778,0.02456398
6525,cw,20.48065,19.06369,18.33865,17.98475,17.72454,0.06031189,0.009921268,0.00682634,0.006723292,0.01722913
6526,cw,21.30388,19.72795,18.96676,18.58298,18.305870000000002,0.1074525,0.01156458,0.008669655,0.008466351,0.0262832
6527,cw,20.76047,18.954620000000002,18.00725,17.55247,17.21438,0.05967396,0.0075426619999999995,0.004837708,0.004450865,0.01226665
6528,cw,20.15714,18.54584,17.7089,17.25781,16.94518,0.04543113,0.005724423,0.004594168,0.004302696,0.01016928
6529,cw,20.73197,19.48573,18.84621,18.49417,18.28196,0.06892959,0.009932841999999999,0.007758374,0.009221398,0.02084914
6530,cw,19.78838,17.99271,17.14682,16.73142,16.42803,0.03577711,0.005098508,0.003068682,0.003083613,0.00713284
6531,cw,18.31324,16.74239,15.981929999999998,15.57499,15.22691,0.01475348,0.003542618,0.002682,0.002722255,0.003438725
6532,cw,18.712870000000002,18.17773,17.93375,17.569129999999998,17.55904,0.01735708,0.005126234,0.005070746,0.00404675,0.01185373
6533,cw,20.8578,19.38185,18.60456,18.15399,17.84221,0.06801774,0.07908729,0.08940832,0.06739709,0.01910873
6534,cw,21.03827,19.242729999999998,18.25579,17.80923,17.44129,0.09809169999999999,0.009501079,0.005484276,0.004925746,0.01585043
6535,cw,20.09465,18.42529,17.639789999999998,17.24405,16.96459,0.04687783,0.005082206,0.003808212,0.004104315,0.01125081
6536,cw,20.4419,18.40669,17.52111,17.10892,16.75786,0.06104389,0.008211462,0.004520211,0.004486551,0.01026247
6537,cw,19.10836,18.09809,17.58098,17.21633,16.98949,0.02411182,0.005361115,0.00392348,0.004503949,0.009347044
6538,cw,21.896060000000002,19.836679999999998,18.72317,18.22699,17.87126,0.16006199999999998,0.01392996,0.008494209,0.006555241999999999,0.02316254
6539,cw,21.08776,19.6146,18.87572,18.47649,18.21369,0.1059875,0.01194603,0.009306451,0.008145473,0.02896504
6540,cw,19.77025,18.38125,17.69042,17.32674,17.017039999999998,0.03913032,0.005633282,0.00469876,0.004202661,0.01218879
6541,cw,19.21321,18.190479999999997,17.68454,17.38651,17.11569,0.02595977,0.00474547,0.004105555,0.004555745999999999,0.01296286
6542,cw,19.89436,18.13707,17.23441,16.772000000000002,16.427039999999998,0.03429306,0.0050654770000000005,0.003429082,0.002851335,0.005310235999999999
6543,cw,19.74466,18.454810000000002,17.805220000000002,17.47671,17.22982,0.028912599999999997,0.005963011999999999,0.004544297,0.004734385,0.01032861
6544,cw,20.57541,19.24899,18.58762,18.26387,18.004839999999998,0.05584245,0.009504772,0.006970544,0.008625457,0.0175916
6545,cw,20.94783,19.107229999999998,18.1641,17.6812,17.36206,0.07561956,0.008688734,0.005792635,0.00581236,0.01232741
6546,cw,19.45795,18.23881,17.77427,17.5298,17.3313,0.02613293,0.009115966999999999,0.009864196,0.01143305,0.01160021
6547,cw,21.125420000000002,19.63332,18.70145,18.2454,17.894270000000002,0.09201825,0.01334431,0.007313924,0.008647298000000001,0.01802637
6548,cw,21.08783,19.39234,18.41754,17.9659,17.6401,0.08474151,0.00938297,0.00670503,0.006926956999999999,0.01462216
6549,cw,21.02502,19.68575,18.9648,18.59411,18.39769,0.08291774,0.01251341,0.009584913,0.01081123,0.02626634
6550,cw,20.933410000000002,19.05283,18.11369,17.654339999999998,17.33124,0.07729694,0.008454249,0.0055659080000000005,0.005658103,0.01144918
6551,cw,19.09928,17.18394,16.284000000000002,15.8621,15.540770000000002,0.01984503,0.00310906,0.003251601,0.002850099,0.0033802479999999998
6552,cw,20.83986,19.289620000000003,18.53846,18.1409,17.87201,0.07262548,0.009930452,0.007369855,0.007829298,0.0178651
6553,cw,20.96272,19.170720000000003,18.17002,17.60521,17.23031,0.07926897,0.009210364,0.005148835,0.00562141,0.01132434
6554,cw,21.6904,20.18652,19.45368,19.08674,18.85686,0.16792320000000002,0.0163072,0.01380684,0.01410642,0.04182464
6555,cw,20.88147,19.53339,18.902520000000003,18.51781,18.2933,0.08608029,0.01090612,0.03024635,0.009100087,0.02666338
6556,cw,20.999670000000002,19.16357,18.21143,17.76499,17.43371,0.09241887,0.008940233,0.006014536,0.005349938,0.0106673
6557,cw,20.81409,19.15192,18.330470000000002,17.92045,17.590989999999998,0.07914572,0.00886002,0.005835563,0.00593046,0.01504782
6558,cw,20.34198,18.95354,18.15615,17.68141,17.36784,0.0545355,0.00790327,0.005811996999999999,0.0041768529999999995,0.01279233
6559,cw,21.43119,19.72063,18.74505,18.34173,18.0069,0.1162723,0.01125158,0.007191698000000001,0.008789583,0.02314388
6560,cw,19.699270000000002,18.65061,18.268179999999997,17.9761,17.88017,0.03098121,0.006573733000000001,0.006204566,0.005885367,0.02068813
6561,cw,20.55265,19.52497,19.11271,18.84989,18.75145,0.05803051,0.01144366,0.009857623000000001,0.01348199,0.04229671
