,rotation,nProf_u,nProf_g,nProf_r,nProf_i,nProf_z
3125,cw,11,11,11,11,11
3126,cw,11,11,11,11,11
3127,cw,11,11,11,11,11
3128,cw,11,11,11,11,11
3129,cw,9,10,9,9,9
3130,cw,11,11,11,11,11
3131,cw,11,10,10,11,10
3132,cw,9,9,9,10,9
3133,cw,10,10,10,11,10
3134,cw,9,9,9,9,9
3135,cw,11,11,11,11,11
3136,cw,11,10,10,10,10
3137,cw,11,11,11,11,11
3138,cw,10,10,10,10,10
3139,cw,10,10,10,10,10
3140,cw,10,10,10,10,11
3141,cw,10,10,10,10,10
3142,cw,11,11,11,11,11
3143,cw,11,11,11,11,11
3144,cw,10,10,10,10,11
3145,cw,10,10,10,10,10
3146,cw,10,10,10,10,10
3147,cw,11,11,11,11,11
3148,cw,10,9,9,10,9
3149,cw,10,10,10,10,10
3150,cw,11,12,11,11,11
3151,cw,10,11,10,10,10
3152,cw,10,10,10,10,10
3153,cw,12,10,10,10,10
3154,cw,13,13,13,13,13
3155,cw,11,11,11,11,11
3156,cw,10,10,10,10,10
3157,cw,9,9,9,9,9
3158,cw,10,10,10,10,10
3159,cw,11,11,11,11,11
3160,cw,10,10,10,10,10
3161,cw,11,11,11,11,11
3162,cw,11,11,11,11,11
3163,cw,11,11,11,11,11
3164,cw,10,10,10,10,10
3165,cw,12,12,12,12,12
3166,cw,11,11,11,11,11
3167,cw,11,11,11,11,11
3168,cw,10,10,10,10,10
3169,cw,11,11,11,11,11
3170,cw,10,10,10,10,10
3171,cw,10,10,10,10,10
3172,cw,11,11,11,11,11
3173,cw,11,10,10,11,10
3174,cw,9,9,9,9,9
3175,cw,11,11,11,11,11
3176,cw,10,10,10,10,10
3177,cw,11,11,11,11,11
3178,cw,10,10,10,10,10
3179,cw,10,10,10,10,10
3180,cw,10,10,10,10,10
3181,cw,10,10,10,10,10
3182,cw,11,11,11,11,11
3183,cw,11,11,11,11,11
3184,cw,12,12,12,12,12
3185,cw,12,10,10,10,10
3186,cw,10,10,10,10,10
3187,cw,11,11,11,11,11
3188,cw,11,11,11,11,11
3189,cw,12,12,12,12,12
3190,cw,12,11,10,10,10
3191,cw,11,11,11,11,11
3192,cw,11,11,11,11,11
3193,cw,11,11,11,11,11
3194,cw,10,10,10,10,10
3195,cw,11,11,11,11,11
3196,cw,10,10,10,10,10
3197,cw,10,10,10,10,10
3198,cw,10,10,10,10,10
3199,cw,11,11,11,11,11
3200,cw,10,10,10,10,10
3201,cw,10,10,10,10,10
3202,cw,10,10,10,10,10
3203,cw,11,11,11,11,11
3204,cw,15,10,10,10,10
3205,cw,10,11,10,11,10
3206,cw,11,11,11,11,11
3207,cw,12,12,12,12,12
3208,cw,10,10,10,10,10
3209,cw,10,10,10,10,10
3210,cw,11,11,11,11,11
3211,cw,10,10,10,10,10
3212,cw,12,10,10,10,10
3213,cw,10,10,10,10,10
3214,cw,10,10,10,10,10
3215,cw,10,10,10,10,10
3216,cw,10,10,10,10,10
3217,cw,9,9,9,10,9
3218,cw,10,10,10,10,12
3219,cw,10,10,10,10,10
3220,cw,10,10,10,10,10
3221,cw,12,10,10,10,10
3222,cw,10,10,10,10,10
3223,cw,10,10,10,10,10
3224,cw,10,10,10,10,10
3225,cw,10,10,10,10,10
3226,cw,10,10,10,10,10
3227,cw,10,10,10,10,10
3228,cw,11,10,9,9,9
3229,cw,10,10,10,10,10
3230,cw,10,10,10,10,10
3231,cw,13,13,12,12,12
3232,cw,11,11,11,11,11
3233,cw,10,10,10,10,10
3234,cw,10,10,10,10,10
3235,cw,10,10,10,10,10
3236,cw,12,12,12,12,12
3237,cw,9,10,9,10,10
3238,cw,9,9,9,9,9
3239,cw,11,11,11,11,11
3240,cw,11,11,11,11,11
3241,cw,10,10,10,10,10
3242,cw,11,11,11,11,11
3243,cw,10,10,10,10,10
3244,cw,10,10,10,10,10
3245,cw,10,11,10,10,10
3246,cw,11,12,11,11,11
3247,cw,11,11,11,11,11
3248,cw,11,11,11,11,11
3249,cw,12,12,12,12,12
3250,cw,11,11,11,11,11
3251,cw,10,10,10,10,10
3252,cw,11,11,11,11,11
3253,cw,10,10,10,10,10
3254,cw,10,10,10,10,10
3255,cw,10,10,10,10,10
3256,cw,13,13,13,13,13
3257,cw,10,10,10,10,11
3258,cw,10,10,10,10,10
3259,cw,11,11,11,11,11
3260,cw,11,11,11,11,11
3261,cw,10,10,10,10,10
3262,cw,11,11,11,11,11
3263,cw,11,11,11,11,11
3264,cw,11,10,10,10,10
3265,cw,11,11,11,11,11
3266,cw,12,12,12,12,12
3267,cw,11,10,10,10,10
3268,cw,11,10,10,11,10
3269,cw,10,10,10,10,10
3270,cw,10,10,10,10,10
3271,cw,10,10,10,10,10
3272,cw,10,10,10,10,10
3273,cw,10,10,10,10,10
3274,cw,11,11,11,11,11
3275,cw,11,11,11,11,11
3276,cw,10,10,10,10,10
3277,cw,11,11,11,11,11
3278,cw,10,11,10,10,10
3279,cw,10,10,10,11,10
3280,cw,10,10,10,10,10
3281,cw,12,10,10,10,10
3282,cw,11,11,11,11,11
3283,cw,11,11,11,11,11
3284,cw,11,10,10,10,10
3285,cw,11,11,10,10,10
3286,cw,10,10,10,10,10
3287,cw,10,10,10,10,10
3288,cw,11,11,11,11,11
3289,cw,11,11,11,11,11
3290,cw,11,11,11,11,11
3291,cw,10,10,9,9,9
3292,cw,10,10,10,10,11
3293,cw,11,11,11,11,11
3294,cw,10,11,10,11,10
3295,cw,10,10,10,11,10
3296,cw,10,10,10,10,10
3297,cw,10,10,10,10,10
3298,cw,11,10,10,10,10
3299,cw,10,10,10,10,10
3300,cw,11,11,11,11,11
3301,cw,10,10,10,10,10
3302,cw,11,11,11,11,11
3303,cw,12,12,12,12,12
3304,cw,10,10,10,10,10
3305,cw,10,10,10,10,10
3306,cw,10,11,10,11,10
3307,cw,10,11,10,10,10
3308,cw,10,10,10,10,10
3309,cw,11,11,11,11,11
3310,cw,10,10,10,10,10
3311,cw,10,9,9,10,9
3312,cw,10,10,10,10,10
3313,cw,10,10,10,10,10
3314,cw,11,11,11,11,11
3315,cw,11,11,11,11,11
3316,cw,10,10,10,10,10
3317,cw,11,11,11,11,11
3318,cw,10,10,10,10,10
3319,cw,10,10,10,10,10
3320,cw,11,11,10,11,10
3321,cw,10,10,10,10,10
3322,cw,10,10,9,10,10
3323,cw,11,11,11,11,11
3324,cw,11,10,10,10,10
3325,cw,12,10,10,10,10
3326,cw,11,10,10,10,10
3327,cw,11,11,11,11,11
3328,cw,11,11,11,11,11
3329,cw,12,12,12,12,12
3330,cw,10,10,10,10,10
3331,cw,9,9,9,9,9
3332,cw,10,10,10,10,10
3333,cw,10,10,10,10,10
3334,cw,11,11,11,11,11
3335,cw,10,10,10,10,10
3336,cw,10,10,9,10,9
3337,cw,11,11,11,11,11
3338,cw,9,9,9,9,10
3339,cw,11,10,10,10,10
3340,cw,10,10,10,10,10
3341,cw,10,10,10,10,10
3342,cw,11,11,11,11,11
3343,cw,11,11,11,11,11
3344,cw,9,10,9,9,9
3345,cw,10,9,9,9,9
3346,cw,9,9,9,9,9
3347,cw,10,10,10,10,10
3348,cw,11,10,10,10,10
3349,cw,10,10,10,10,10
3350,cw,11,11,11,11,11
3351,cw,11,11,10,10,10
3352,cw,10,10,10,10,10
3353,cw,10,10,10,10,10
3354,cw,10,10,10,10,10
3355,cw,10,10,10,10,10
3356,cw,10,10,10,10,10
3357,cw,10,10,10,10,10
3358,cw,11,11,11,11,11
3359,cw,11,11,11,11,11
3360,cw,12,12,12,12,12
3361,cw,10,10,10,10,10
3362,cw,11,11,11,11,11
3363,cw,10,10,10,10,10
3364,cw,10,10,10,10,10
3365,cw,10,9,9,9,10
3366,cw,10,10,10,10,10
3367,cw,10,10,10,10,10
3368,cw,10,10,10,10,10
3369,cw,10,11,10,10,10
3370,cw,10,10,10,10,10
3371,cw,11,11,11,11,11
3372,cw,11,11,11,11,11
3373,cw,9,9,9,10,10
3374,cw,10,10,10,10,10
3375,cw,12,12,12,12,12
3376,cw,11,11,11,11,11
3377,cw,11,11,11,11,11
3378,cw,10,10,10,10,10
3379,cw,10,10,10,10,10
3380,cw,10,10,10,10,10
3381,cw,15,11,10,10,10
3382,cw,10,10,10,10,10
3383,cw,11,11,11,11,11
3384,cw,10,11,10,10,10
3385,cw,11,11,11,11,11
3386,cw,11,11,11,11,11
3387,cw,12,12,12,12,12
3388,cw,9,9,9,10,9
3389,cw,11,11,11,11,11
3390,cw,10,11,10,10,10
3391,cw,10,10,10,10,10
3392,cw,10,10,10,10,11
3393,cw,11,11,11,11,11
3394,cw,10,10,10,10,10
3395,cw,12,10,10,10,10
3396,cw,10,11,10,11,10
3397,cw,9,10,9,10,9
3398,cw,10,10,10,10,10
3399,cw,11,11,11,11,11
3400,cw,11,11,11,11,11
3401,cw,11,11,11,11,11
3402,cw,11,11,11,11,11
3403,cw,11,10,10,10,10
3404,cw,10,10,10,10,10
3405,cw,11,11,11,11,11
3406,cw,10,10,10,10,10
3407,cw,10,10,10,10,10
3408,cw,12,11,11,11,11
3409,cw,11,11,11,11,11
3410,cw,11,11,11,11,11
3411,cw,10,10,10,10,10
3412,cw,11,11,11,11,11
3413,cw,10,10,10,10,10
3414,cw,11,10,10,10,10
3415,cw,12,12,12,12,12
3416,cw,12,12,12,12,12
3417,cw,10,10,10,10,10
3418,cw,11,11,11,11,11
3419,cw,12,12,12,12,12
3420,cw,10,10,10,10,10
3421,cw,14,11,10,11,10
3422,cw,11,11,11,11,11
3423,cw,11,11,11,11,11
3424,cw,10,10,10,10,10
3425,cw,9,9,9,10,9
3426,cw,10,10,10,10,10
3427,cw,10,10,10,10,10
3428,cw,11,11,11,11,11
3429,cw,11,11,11,11,11
3430,cw,12,12,12,12,12
3431,cw,11,11,11,11,11
3432,cw,10,10,10,10,10
3433,cw,14,14,14,14,14
3434,cw,13,11,9,11,9
3435,cw,11,11,11,11,11
3436,cw,11,11,11,11,11
3437,cw,11,11,11,11,11
3438,cw,10,10,10,10,10
3439,cw,11,11,11,11,11
3440,cw,10,10,10,10,10
3441,cw,9,9,9,9,9
3442,cw,10,10,10,10,10
3443,cw,11,11,11,11,11
3444,cw,11,11,11,11,11
3445,cw,11,11,11,11,11
3446,cw,12,12,12,12,12
3447,cw,11,11,10,10,10
3448,cw,10,11,10,11,10
3449,cw,11,11,11,11,11
3450,cw,11,11,11,11,11
3451,cw,10,10,10,10,10
3452,cw,10,10,10,10,10
3453,cw,11,11,11,11,11
3454,cw,10,10,10,10,10
3455,cw,10,10,10,10,10
3456,cw,11,11,11,11,11
3457,cw,10,10,10,10,10
3458,cw,11,11,11,11,11
3459,cw,10,11,10,11,11
3460,cw,11,11,11,11,11
3461,cw,11,11,11,11,11
3462,cw,12,12,12,12,12
3463,cw,11,11,11,11,11
3464,cw,11,11,11,11,11
3465,cw,10,10,10,10,10
3466,cw,10,10,10,10,10
3467,cw,11,11,11,11,11
3468,cw,10,10,10,10,10
3469,cw,10,10,10,10,10
3470,cw,10,12,10,10,11
3471,cw,10,10,10,11,10
3472,cw,11,10,10,10,10
3473,cw,11,11,11,11,11
3474,cw,11,11,11,11,11
3475,cw,10,10,10,10,10
3476,cw,11,11,11,11,11
3477,cw,10,10,10,10,10
3478,cw,11,11,11,11,11
3479,cw,11,12,11,11,11
3480,cw,10,11,10,10,11
3481,cw,12,12,12,12,12
3482,cw,10,10,10,10,10
3483,cw,9,9,9,9,9
3484,cw,11,10,10,11,10
3485,cw,11,11,11,11,11
3486,cw,10,10,10,11,10
3487,cw,12,12,12,12,12
3488,cw,11,11,11,11,11
3489,cw,10,10,10,10,11
3490,cw,10,11,10,10,10
3491,cw,10,10,10,10,10
3492,cw,10,10,9,9,9
3493,cw,11,11,11,11,11
3494,cw,10,10,10,10,10
3495,cw,11,11,11,11,11
3496,cw,12,12,12,12,12
3497,cw,10,10,10,10,10
3498,cw,10,10,10,10,10
3499,cw,11,11,11,11,11
3500,cw,11,11,11,11,11
3501,cw,10,11,10,10,10
3502,cw,13,13,13,13,13
3503,cw,12,12,12,12,12
3504,cw,11,11,11,11,11
3505,cw,12,12,12,12,12
3506,cw,11,11,11,11,11
3507,cw,11,11,11,11,11
3508,cw,10,10,10,10,10
3509,cw,10,10,10,10,10
3510,cw,11,11,11,11,11
3511,cw,10,10,10,10,10
3512,cw,10,10,10,10,10
3513,cw,11,11,11,11,11
3514,cw,10,11,10,10,10
3515,cw,11,10,9,9,9
3516,cw,11,10,10,10,10
3517,cw,10,10,10,11,10
3518,cw,10,11,10,10,10
3519,cw,12,12,12,12,12
3520,cw,9,9,9,9,9
3521,cw,12,12,12,12,12
3522,cw,11,11,11,11,11
3523,cw,11,11,11,11,11
3524,cw,11,11,11,11,11
3525,cw,10,10,10,10,10
3526,cw,12,12,12,12,12
3527,cw,10,10,10,10,10
3528,cw,10,10,10,10,10
3529,cw,10,10,10,10,10
3530,cw,11,11,11,11,11
3531,cw,11,11,11,11,11
3532,cw,10,10,9,9,9
3533,cw,11,11,11,11,11
3534,cw,11,11,11,11,11
3535,cw,11,10,9,9,9
3536,cw,11,11,11,11,11
3537,cw,10,10,10,10,10
3538,cw,11,11,11,11,11
3539,cw,10,10,10,10,10
3540,cw,11,11,11,11,11
3541,cw,10,11,10,10,10
3542,cw,10,10,10,10,10
3543,cw,10,10,10,10,10
3544,cw,11,11,11,11,11
3545,cw,11,11,10,11,10
3546,cw,10,10,10,10,10
3547,cw,11,10,10,10,10
3548,cw,10,10,10,10,10
3549,cw,11,11,11,11,11
3550,cw,11,11,11,11,11
3551,cw,10,11,10,10,10
3552,cw,12,12,12,12,12
3553,cw,11,11,11,11,11
3554,cw,11,11,11,11,11
3555,cw,12,12,12,12,12
3556,cw,11,10,10,10,10
3557,cw,11,10,10,11,10
3558,cw,10,10,10,10,12
3559,cw,11,11,11,11,11
3560,cw,11,10,10,10,10
3561,cw,11,11,11,11,11
3562,cw,12,12,12,12,12
3563,cw,11,11,11,11,11
3564,cw,10,10,10,10,10
3565,cw,9,9,9,11,9
3566,cw,11,11,11,11,11
3567,cw,10,10,10,10,10
3568,cw,9,9,9,10,9
3569,cw,10,10,10,10,10
3570,cw,10,10,10,10,10
3571,cw,10,10,10,10,10
3572,cw,10,10,10,10,10
3573,cw,10,10,10,10,10
3574,cw,10,10,10,10,10
3575,cw,11,11,11,11,11
3576,cw,10,10,10,10,10
3577,cw,12,12,12,12,12
3578,cw,9,9,9,9,9
3579,cw,12,12,12,12,12
3580,cw,11,11,11,11,11
3581,cw,10,10,10,10,10
3582,cw,10,10,10,10,10
3583,cw,10,10,10,10,10
3584,cw,10,10,10,10,10
3585,cw,10,10,10,11,10
3586,cw,10,10,10,11,10
3587,cw,12,12,12,12,12
3588,cw,10,10,10,10,10
3589,cw,11,9,9,10,9
3590,cw,11,11,11,11,11
3591,cw,10,10,10,10,10
3592,cw,11,11,11,11,11
3593,cw,12,12,12,12,12
3594,cw,10,10,10,10,10
3595,cw,11,11,11,11,11
3596,cw,10,10,10,11,10
3597,cw,10,10,10,10,10
3598,cw,11,11,11,11,11
3599,cw,10,10,10,10,10
3600,cw,10,10,10,10,10
3601,cw,10,10,10,10,10
3602,cw,10,10,10,10,10
3603,cw,10,10,10,10,11
3604,cw,10,10,10,10,10
3605,cw,10,11,10,10,10
3606,cw,11,11,11,11,11
3607,cw,10,10,10,10,10
3608,cw,10,10,10,10,10
3609,cw,11,11,11,11,11
3610,cw,11,11,11,11,11
3611,cw,10,10,10,10,10
3612,cw,11,11,11,11,11
3613,cw,10,10,10,10,10
3614,cw,11,11,11,11,11
3615,cw,10,10,10,10,10
3616,cw,11,11,11,11,11
3617,cw,10,11,10,11,10
3618,cw,11,11,11,11,11
3619,cw,10,10,10,10,10
3620,cw,10,10,10,10,10
3621,cw,11,11,11,11,11
3622,cw,11,11,11,11,11
3623,cw,10,11,10,10,10
3624,cw,11,11,11,11,11
3625,cw,10,10,10,10,10
3626,cw,9,9,9,11,11
3627,cw,11,10,10,11,10
3628,cw,12,12,12,12,12
3629,cw,10,10,10,10,10
3630,cw,12,12,12,12,12
3631,cw,11,11,11,11,11
3632,cw,10,10,10,10,10
3633,cw,10,10,10,10,10
3634,cw,11,11,11,11,11
3635,cw,9,10,9,10,9
3636,cw,11,11,11,11,11
3637,cw,11,10,10,10,10
3638,cw,11,11,11,11,11
3639,cw,10,10,10,10,10
3640,cw,11,11,11,11,11
3641,cw,11,10,9,9,9
3642,cw,11,11,11,11,11
3643,cw,11,11,11,11,11
3644,cw,10,10,10,10,10
3645,cw,12,10,10,10,11
3646,cw,10,10,10,10,10
3647,cw,11,11,11,11,11
3648,cw,14,10,10,10,10
3649,cw,10,10,10,10,11
3650,cw,11,11,11,11,11
3651,cw,10,10,10,10,10
3652,cw,11,11,11,11,11
3653,cw,11,11,11,11,11
3654,cw,11,11,11,11,11
3655,cw,9,9,9,9,11
3656,cw,10,10,10,10,10
3657,cw,11,11,11,11,11
3658,cw,11,11,11,11,11
3659,cw,10,10,10,10,10
3660,cw,9,9,9,9,10
3661,cw,10,10,10,10,10
3662,cw,12,12,12,12,12
3663,cw,10,10,10,11,10
3664,cw,10,10,10,11,11
3665,cw,10,10,10,10,10
3666,cw,10,10,10,11,10
3667,cw,10,10,10,10,10
3668,cw,11,11,11,11,11
3669,cw,12,12,12,12,12
3670,cw,10,10,10,10,10
3671,cw,11,11,11,11,11
3672,cw,10,10,10,10,11
3673,cw,9,9,9,9,10
3674,cw,11,11,11,11,11
3675,cw,12,12,12,12,12
3676,cw,9,9,9,9,10
3677,cw,10,10,10,10,10
3678,cw,10,10,10,10,10
3679,cw,10,10,10,10,10
3680,cw,11,12,11,11,11
3681,cw,9,9,9,9,9
3682,cw,11,11,11,11,11
3683,cw,11,11,11,11,11
3684,cw,10,10,10,10,10
3685,cw,11,11,11,11,11
3686,cw,11,11,11,11,11
3687,cw,12,13,12,12,12
3688,cw,12,12,12,12,12
3689,cw,11,11,11,11,11
3690,cw,10,10,10,10,10
3691,cw,10,10,10,10,10
3692,cw,10,10,10,10,10
3693,cw,11,11,11,11,11
3694,cw,10,10,10,10,10
3695,cw,11,11,11,11,11
3696,cw,11,11,11,11,11
3697,cw,10,10,10,10,10
3698,cw,11,10,10,11,10
3699,cw,10,11,10,11,10
3700,cw,12,12,12,12,12
3701,cw,11,11,11,11,11
3702,cw,12,10,10,10,10
3703,cw,10,10,10,10,10
3704,cw,10,10,10,10,10
3705,cw,10,10,10,10,10
3706,cw,11,11,11,11,11
3707,cw,10,10,10,10,10
3708,cw,11,11,11,11,11
3709,cw,11,11,11,11,11
3710,cw,10,10,10,10,10
3711,cw,11,11,11,11,11
3712,cw,12,12,12,12,12
3713,cw,12,11,11,11,11
3714,cw,12,11,11,11,11
3715,cw,10,10,10,10,10
3716,cw,10,10,10,10,10
3717,cw,10,10,10,10,10
3718,cw,10,10,10,10,10
3719,cw,10,10,10,10,10
3720,cw,10,10,10,10,10
3721,cw,12,10,10,10,10
3722,cw,10,10,10,10,10
3723,cw,9,9,9,9,10
3724,cw,11,10,10,11,10
3725,cw,11,11,11,11,11
3726,cw,13,10,10,10,10
3727,cw,10,10,10,10,10
3728,cw,10,10,10,10,10
3729,cw,11,12,11,11,11
3730,cw,10,10,10,10,10
3731,cw,10,10,10,10,10
3732,cw,11,10,10,10,10
3733,cw,10,10,10,11,10
3734,cw,9,9,9,9,9
3735,cw,10,11,10,10,10
3736,cw,11,10,10,10,11
3737,cw,11,11,11,11,11
3738,cw,11,11,11,11,11
3739,cw,9,9,9,9,9
3740,cw,10,10,10,10,10
3741,cw,11,11,11,11,11
3742,cw,11,11,11,11,11
3743,cw,10,10,10,10,10
3744,cw,11,11,11,11,11
3745,cw,10,10,10,10,10
3746,cw,10,10,10,10,10
3747,cw,12,12,12,12,12
3748,cw,10,10,10,10,10
3749,cw,10,10,10,10,11
3750,cw,12,12,12,12,12
3751,cw,11,11,11,11,11
3752,cw,10,10,10,10,10
3753,cw,11,11,11,11,11
3754,cw,10,10,10,10,10
3755,cw,10,10,10,10,10
3756,cw,10,10,10,10,10
3757,cw,11,11,11,11,11
3758,cw,10,10,10,10,10
3759,cw,11,11,11,11,11
3760,cw,11,11,11,11,11
3761,cw,11,11,11,11,11
3762,cw,10,10,10,10,10
3763,cw,9,11,9,10,9
3764,cw,12,12,12,12,12
3765,cw,11,11,11,11,11
3766,cw,11,11,11,11,11
3767,cw,10,10,10,10,10
3768,cw,10,10,10,10,10
3769,cw,11,11,11,11,11
3770,cw,10,10,10,10,11
3771,cw,11,11,11,11,11
3772,cw,10,10,10,10,10
3773,cw,10,11,10,10,10
3774,cw,10,10,10,10,10
3775,cw,11,11,11,11,11
3776,cw,10,10,10,10,10
3777,cw,11,11,11,11,11
3778,cw,10,10,10,10,10
3779,cw,10,10,10,10,10
3780,cw,11,11,11,11,11
3781,cw,9,10,9,9,9
3782,cw,11,11,11,11,11
3783,cw,10,10,10,10,10
3784,cw,11,10,10,11,10
3785,cw,10,10,10,10,10
3786,cw,11,11,11,11,11
3787,cw,12,12,12,12,12
3788,cw,11,9,9,10,9
3789,cw,10,10,10,10,10
3790,cw,10,11,10,10,11
3791,cw,10,10,10,10,10
3792,cw,11,11,11,11,11
3793,cw,10,10,10,10,10
3794,cw,11,11,11,11,11
3795,cw,10,10,10,10,10
3796,cw,10,10,10,10,10
3797,cw,10,10,10,10,10
3798,cw,11,10,10,10,10
3799,cw,10,10,10,10,10
3800,cw,10,10,10,10,10
3801,cw,11,11,11,11,11
3802,cw,11,11,11,11,11
3803,cw,10,11,10,10,10
3804,cw,11,11,11,11,11
3805,cw,10,10,10,10,10
3806,cw,10,10,10,10,10
3807,cw,9,9,9,10,9
3808,cw,12,12,12,12,12
3809,cw,11,9,9,10,9
3810,cw,10,10,10,10,10
3811,cw,10,10,10,10,10
3812,cw,10,10,10,10,10
3813,cw,10,10,10,10,10
3814,cw,11,11,11,11,11
3815,cw,10,10,10,10,10
3816,cw,11,11,11,11,11
3817,cw,11,11,11,11,11
3818,cw,11,11,11,11,11
3819,cw,11,11,11,11,11
3820,cw,10,10,10,10,10
3821,cw,11,11,11,11,11
3822,cw,11,11,11,11,11
3823,cw,10,10,10,10,10
3824,cw,12,12,12,12,12
3825,cw,11,9,9,9,9
3826,cw,11,9,9,10,11
3827,cw,11,11,11,11,11
3828,cw,11,11,11,11,11
3829,cw,11,11,11,11,11
3830,cw,10,10,10,10,10
3831,cw,10,10,9,9,10
3832,cw,10,10,10,10,10
3833,cw,10,11,10,11,10
3834,cw,9,10,9,10,10
3835,cw,10,10,10,10,10
3836,cw,10,10,10,10,10
3837,cw,10,10,10,10,10
3838,cw,10,11,10,10,10
3839,cw,10,10,10,10,10
3840,cw,10,10,10,10,10
3841,cw,12,12,12,12,12
3842,cw,10,10,10,11,10
3843,cw,11,11,11,11,11
3844,cw,10,10,10,10,10
3845,cw,11,11,11,11,11
3846,cw,11,11,11,11,11
3847,cw,10,10,10,10,10
3848,cw,10,10,10,10,10
3849,cw,10,10,10,10,10
3850,cw,11,11,11,11,11
3851,cw,10,10,10,10,10
3852,cw,10,10,10,11,10
3853,cw,11,11,11,11,11
3854,cw,11,11,11,11,11
3855,cw,11,11,11,11,11
3856,cw,10,10,10,11,10
3857,cw,10,10,10,10,10
3858,cw,11,11,11,11,11
3859,cw,11,11,11,11,11
3860,cw,11,11,11,11,11
3861,cw,12,9,9,9,9
3862,cw,9,9,9,9,9
3863,cw,10,10,10,10,10
3864,cw,10,11,10,10,11
3865,cw,11,12,11,11,11
3866,cw,11,11,11,11,11
3867,cw,10,10,10,10,10
3868,cw,10,10,10,10,10
3869,cw,10,10,10,10,10
3870,cw,10,10,10,10,11
3871,cw,11,11,11,11,11
3872,cw,11,11,11,11,11
3873,cw,11,11,11,11,11
3874,cw,10,10,10,10,10
3875,cw,10,10,10,10,10
3876,cw,10,12,10,10,11
3877,cw,11,11,11,11,11
3878,cw,10,10,10,10,10
3879,cw,12,12,12,12,12
3880,cw,11,10,10,10,10
3881,cw,9,10,9,10,9
3882,cw,10,10,10,10,10
3883,cw,11,11,11,11,11
3884,cw,10,10,10,10,10
3885,cw,11,11,10,11,11
3886,cw,11,11,11,11,11
3887,cw,10,10,10,10,10
3888,cw,11,11,11,11,11
3889,cw,10,10,10,10,10
3890,cw,11,11,11,11,11
3891,cw,10,10,10,10,10
3892,cw,10,10,10,10,10
3893,cw,10,10,10,10,10
3894,cw,10,11,10,10,10
3895,cw,10,10,10,10,10
3896,cw,11,10,10,10,10
3897,cw,11,11,11,11,11
3898,cw,11,11,11,11,11
3899,cw,11,11,11,11,11
3900,cw,11,11,11,11,11
3901,cw,10,10,10,10,10
3902,cw,10,10,10,10,10
3903,cw,11,11,11,11,11
3904,cw,11,11,11,11,11
3905,cw,11,11,11,11,11
3906,cw,9,9,9,9,10
3907,cw,10,10,10,10,10
3908,cw,10,10,10,10,10
3909,cw,10,10,10,10,10
3910,cw,10,10,10,10,10
3911,cw,9,9,9,9,9
3912,cw,12,12,12,12,12
3913,cw,11,10,10,10,10
3914,cw,10,11,10,10,10
3915,cw,10,10,10,10,11
3916,cw,10,10,10,10,10
3917,cw,11,11,11,11,11
3918,cw,9,9,9,9,9
3919,cw,11,11,11,11,11
3920,cw,10,10,10,10,10
3921,cw,10,10,10,10,10
3922,cw,10,10,10,10,10
3923,cw,11,11,11,11,11
3924,cw,11,11,11,11,11
3925,cw,10,10,10,10,10
3926,cw,11,11,10,10,10
3927,cw,11,11,11,11,11
3928,cw,10,10,10,10,11
3929,cw,11,9,9,10,9
3930,cw,11,11,11,11,11
3931,cw,10,10,10,10,10
3932,cw,11,11,11,11,11
3933,cw,11,11,11,11,11
3934,cw,11,11,11,11,11
3935,cw,11,11,11,11,11
3936,cw,10,10,10,10,11
3937,cw,11,11,11,11,11
3938,cw,9,9,9,10,9
3939,cw,10,10,10,10,10
3940,cw,9,9,9,9,9
3941,cw,10,10,10,10,10
3942,cw,10,10,10,10,10
3943,cw,12,12,12,12,12
3944,cw,11,11,11,11,11
3945,cw,10,10,10,10,10
3946,cw,11,11,11,11,11
3947,cw,11,11,11,11,11
3948,cw,10,10,10,10,10
3949,cw,10,10,10,10,10
3950,cw,10,10,10,10,10
3951,cw,10,10,10,10,10
3952,cw,10,10,10,10,10
3953,cw,12,12,12,12,12
3954,cw,9,9,9,9,9
3955,cw,9,9,9,9,9
3956,cw,12,12,12,12,12
3957,cw,12,12,12,12,12
3958,cw,10,10,10,11,10
3959,cw,12,12,12,12,12
3960,cw,10,10,10,10,10
3961,cw,9,9,9,9,10
3962,cw,10,10,10,10,10
3963,cw,10,10,10,10,10
3964,cw,11,11,11,11,11
3965,cw,10,10,10,10,11
3966,cw,9,9,9,9,9
3967,cw,9,9,9,9,9
3968,cw,10,10,10,10,10
3969,cw,10,10,10,10,10
3970,cw,11,11,11,11,11
3971,cw,10,10,10,11,10
3972,cw,10,10,10,11,10
3973,cw,9,9,9,9,10
3974,cw,10,10,10,10,11
3975,cw,11,11,11,11,11
3976,cw,10,11,10,10,10
3977,cw,10,10,10,10,10
3978,cw,10,10,10,10,10
3979,cw,11,11,11,11,11
3980,cw,10,10,10,10,10
3981,cw,12,9,9,9,9
3982,cw,10,10,10,10,10
3983,cw,10,10,10,10,10
3984,cw,11,11,11,11,11
3985,cw,11,11,11,11,11
3986,cw,10,10,10,10,10
3987,cw,11,11,11,11,11
3988,cw,11,11,11,11,11
3989,cw,11,11,11,11,11
3990,cw,11,11,11,11,11
3991,cw,10,9,9,9,9
3992,cw,10,10,10,10,10
3993,cw,11,11,11,11,11
3994,cw,9,9,9,9,9
3995,cw,10,11,10,10,11
3996,cw,11,11,11,11,11
