,rotation,nProf_u,nProf_g,nProf_r,nProf_i,nProf_z
211,cw,11,11,11,11,11
212,cw,10,10,10,10,10
213,cw,11,11,11,11,11
214,cw,10,10,10,10,10
215,cw,11,11,11,11,11
216,cw,11,10,9,11,9
217,cw,9,9,9,10,9
218,cw,12,12,12,12,12
219,cw,11,11,11,11,11
220,cw,11,11,11,11,11
221,cw,9,9,9,9,9
222,cw,11,11,11,11,11
223,cw,10,10,10,10,10
224,cw,11,11,11,11,11
225,cw,11,11,11,11,11
226,cw,10,10,10,10,10
227,cw,14,11,11,11,11
228,cw,12,12,12,12,12
229,cw,10,10,10,10,10
230,cw,10,10,10,10,10
231,cw,11,11,11,11,11
232,cw,11,11,11,11,11
233,cw,12,12,12,12,12
234,cw,11,9,9,9,10
235,cw,10,10,10,10,10
236,cw,10,10,10,10,10
237,cw,10,10,10,10,10
238,cw,10,10,10,10,10
239,cw,10,10,10,10,10
240,cw,10,10,10,10,10
241,cw,10,10,10,10,10
242,cw,11,11,11,11,11
243,cw,11,11,11,11,11
244,cw,10,10,10,10,10
245,cw,11,11,10,10,10
246,cw,9,9,9,9,9
247,cw,10,10,10,10,10
248,cw,11,10,10,10,10
249,cw,12,13,12,12,12
250,cw,10,10,10,10,10
251,cw,12,12,12,12,12
252,cw,10,10,10,10,10
253,cw,10,11,10,10,10
254,cw,10,10,10,10,10
255,cw,11,11,11,11,11
256,cw,10,10,10,10,10
257,cw,10,10,10,10,10
258,cw,10,10,10,10,12
259,cw,11,11,11,11,11
260,cw,10,10,10,10,10
261,cw,11,11,11,11,11
262,cw,11,11,10,10,10
263,cw,10,10,10,10,10
264,cw,11,11,11,11,11
265,cw,11,11,11,11,11
266,cw,10,10,10,10,10
267,cw,9,10,9,10,9
268,cw,10,10,10,10,10
269,cw,11,11,10,11,10
270,cw,10,10,10,10,10
271,cw,11,11,11,11,11
272,cw,10,10,10,10,10
273,cw,10,10,10,10,10
274,cw,12,10,10,10,10
275,cw,9,9,9,10,9
276,cw,11,10,10,10,10
277,cw,10,10,10,10,10
278,cw,11,11,11,11,11
279,cw,10,10,10,10,10
280,cw,9,10,9,10,9
281,cw,11,11,11,11,11
282,cw,11,11,11,11,11
283,cw,11,11,11,11,11
284,cw,10,11,10,10,10
285,cw,11,11,11,11,11
286,cw,11,11,11,11,11
287,cw,10,10,10,10,10
288,cw,11,11,11,11,11
289,cw,11,11,11,11,11
290,cw,11,11,11,11,11
291,cw,11,11,11,11,11
292,cw,12,12,12,12,12
293,cw,10,10,10,10,10
294,cw,10,10,10,10,10
295,cw,10,11,10,10,10
296,cw,11,11,11,11,11
297,cw,10,11,10,11,11
298,cw,11,11,11,11,11
299,cw,10,10,10,10,10
300,cw,11,10,10,10,10
301,cw,11,10,10,10,10
302,cw,10,10,10,10,10
303,cw,10,10,10,10,10
304,cw,10,10,10,10,10
305,cw,11,11,11,11,11
306,cw,11,10,10,10,11
307,cw,11,11,11,11,11
308,cw,10,10,10,10,10
309,cw,9,9,9,9,9
310,cw,12,10,10,10,11
311,cw,10,9,9,9,10
312,cw,10,10,10,10,10
313,cw,11,10,10,10,10
314,cw,10,10,10,10,10
315,cw,9,9,9,9,9
316,cw,13,13,13,13,13
317,cw,10,10,10,10,10
318,cw,10,10,10,11,10
319,cw,11,11,10,10,10
320,cw,10,10,10,10,10
321,cw,11,10,10,10,10
322,cw,9,10,9,9,9
323,cw,10,10,10,10,10
324,cw,11,11,11,11,11
325,cw,10,10,10,11,10
326,cw,12,12,12,12,12
327,cw,10,10,10,10,10
328,cw,10,10,10,10,10
329,cw,10,10,10,10,10
330,cw,11,11,11,11,11
331,cw,11,11,11,11,11
332,cw,11,11,11,11,11
333,cw,11,11,11,11,11
334,cw,11,10,10,10,10
335,cw,10,10,10,10,10
336,cw,11,11,11,11,11
337,cw,12,12,12,12,12
338,cw,11,10,10,10,10
339,cw,11,11,10,10,10
340,cw,11,11,11,11,11
341,cw,10,10,10,11,11
342,cw,10,10,10,10,10
343,cw,10,10,10,10,10
344,cw,11,11,11,11,11
345,cw,10,10,10,11,10
346,cw,11,11,11,11,11
347,cw,11,11,11,11,11
348,cw,11,11,11,11,11
349,cw,10,10,10,10,10
350,cw,14,10,10,10,10
351,cw,9,9,9,9,10
352,cw,11,9,9,9,9
353,cw,11,11,11,11,11
354,cw,11,11,11,11,11
355,cw,11,11,11,11,11
356,cw,10,10,10,10,10
357,cw,11,11,11,11,11
358,cw,12,10,10,10,10
359,cw,10,10,10,10,10
360,cw,11,11,11,11,11
361,cw,10,10,10,10,10
362,cw,11,11,11,11,11
363,cw,9,10,9,10,10
364,cw,11,10,10,10,10
365,cw,11,10,10,10,10
366,cw,11,11,11,11,11
367,cw,10,10,10,10,10
368,cw,10,10,10,11,10
369,cw,13,13,13,13,13
370,cw,11,11,11,11,11
371,cw,11,11,11,11,11
372,cw,11,11,11,11,11
373,cw,10,10,10,11,10
374,cw,9,9,9,9,9
375,cw,11,11,11,11,11
376,cw,11,11,11,11,11
377,cw,11,11,11,11,11
378,cw,10,10,10,10,10
379,cw,10,10,10,10,10
380,cw,10,10,10,10,10
381,cw,10,10,10,10,10
382,cw,11,11,11,11,11
383,cw,10,9,9,10,10
384,cw,11,11,11,11,11
385,cw,10,10,10,10,10
386,cw,11,11,11,11,11
387,cw,12,12,12,12,12
388,cw,10,10,10,10,10
389,cw,10,10,10,10,10
390,cw,11,10,10,10,10
391,cw,9,10,9,10,9
392,cw,11,10,10,10,10
393,cw,11,10,10,10,10
394,cw,9,11,9,10,9
395,cw,10,10,10,10,10
396,cw,10,10,10,10,10
397,cw,10,10,10,10,10
398,cw,11,11,11,11,11
399,cw,10,10,10,10,10
400,cw,10,10,10,11,10
401,cw,10,10,10,10,10
402,cw,11,11,11,11,11
403,cw,11,11,11,11,11
404,cw,11,11,11,11,11
405,cw,10,10,10,10,10
406,cw,11,11,11,11,11
407,cw,10,10,10,11,10
408,cw,11,11,11,11,11
409,cw,11,10,10,10,10
410,cw,10,10,10,10,10
411,cw,9,9,9,10,9
412,cw,10,10,10,10,10
413,cw,10,10,10,10,10
414,cw,11,11,10,10,11
415,cw,11,11,11,11,11
416,cw,10,10,10,10,10
417,cw,10,10,10,10,10
418,cw,9,10,9,10,10
419,cw,11,11,11,11,11
420,cw,11,11,11,11,11
421,cw,10,11,10,10,10
422,cw,11,11,11,11,11
423,cw,11,10,10,10,10
424,cw,10,10,10,10,10
425,cw,11,11,11,11,11
426,cw,11,11,11,11,11
427,cw,10,10,10,10,10
428,cw,10,10,10,10,10
429,cw,10,10,10,10,10
430,cw,11,11,11,11,11
431,cw,11,11,11,11,11
432,cw,10,10,10,10,10
433,cw,10,10,10,10,10
434,cw,12,12,12,12,12
435,cw,10,10,10,10,10
436,cw,11,12,11,11,11
437,cw,11,11,11,11,11
438,cw,11,11,11,11,11
439,cw,10,10,10,10,10
440,cw,11,11,11,11,11
441,cw,10,10,10,10,10
442,cw,11,11,11,11,11
443,cw,10,10,10,10,10
444,cw,11,11,11,11,11
445,cw,11,11,11,11,11
446,cw,10,10,10,10,10
447,cw,11,10,10,10,10
448,cw,10,10,10,10,10
449,cw,11,11,11,11,11
450,cw,10,10,10,10,10
451,cw,10,10,10,10,10
452,cw,10,10,10,10,10
453,cw,13,13,13,13,13
454,cw,10,10,10,11,10
455,cw,10,10,10,10,10
456,cw,11,11,11,11,11
457,cw,10,10,10,10,10
458,cw,10,10,10,10,10
459,cw,12,12,12,12,12
460,cw,11,11,11,11,11
461,cw,9,9,9,9,9
462,cw,11,11,11,11,11
463,cw,12,12,12,12,12
464,cw,10,10,10,10,10
465,cw,11,11,11,11,11
466,cw,11,11,11,11,11
467,cw,10,10,10,10,11
468,cw,11,11,11,11,11
469,cw,11,11,11,11,11
470,cw,10,10,10,10,10
471,cw,9,9,9,9,9
472,cw,10,10,10,10,10
473,cw,10,10,10,10,10
474,cw,11,11,11,11,11
475,cw,11,10,10,10,10
476,cw,10,10,10,10,10
477,cw,10,10,10,10,10
478,cw,10,10,10,10,10
479,cw,11,11,11,11,11
480,cw,10,10,10,10,10
481,cw,11,11,11,11,11
482,cw,11,11,11,11,11
483,cw,10,10,10,10,10
484,cw,10,11,10,11,11
485,cw,11,11,11,11,11
486,cw,10,10,10,10,10
487,cw,10,10,10,10,10
488,cw,11,11,11,11,11
489,cw,10,10,10,10,10
490,cw,11,10,10,10,12
491,cw,11,11,11,11,11
492,cw,11,11,11,11,11
493,cw,11,11,11,11,11
494,cw,11,11,11,11,11
495,cw,11,11,11,11,11
496,cw,12,12,12,12,12
497,cw,11,11,11,11,11
498,cw,10,10,10,10,10
499,cw,10,10,10,10,10
500,cw,11,11,11,11,11
501,cw,11,11,11,11,11
502,cw,10,10,10,10,10
503,cw,10,10,10,10,10
504,cw,11,11,11,11,11
505,cw,11,11,11,11,11
506,cw,11,11,11,11,11
507,cw,10,10,10,10,10
508,cw,9,9,9,9,9
509,cw,9,9,9,9,9
510,cw,12,12,12,12,12
511,cw,12,12,12,12,12
512,cw,11,11,11,11,11
513,cw,10,10,10,10,10
514,cw,9,10,9,9,10
515,cw,13,11,10,11,10
516,cw,10,10,10,10,10
517,cw,10,10,10,10,11
518,cw,10,10,10,10,10
519,cw,11,11,11,11,11
520,cw,10,10,10,10,10
521,cw,11,11,11,11,11
522,cw,12,12,12,12,12
523,cw,10,10,10,10,10
524,cw,10,10,10,10,10
525,cw,10,10,10,10,10
526,cw,10,10,10,10,10
527,cw,10,10,10,10,10
528,cw,11,11,11,11,11
529,cw,11,11,11,11,11
530,cw,10,10,10,10,11
531,cw,10,11,10,10,10
532,cw,10,10,10,10,10
533,cw,11,11,11,11,11
534,cw,10,10,9,10,9
535,cw,10,10,10,10,10
536,cw,11,11,11,11,11
537,cw,10,10,10,10,10
538,cw,14,10,10,10,10
539,cw,11,11,11,11,11
540,cw,10,10,10,10,10
541,cw,11,10,10,10,10
542,cw,11,11,11,11,11
543,cw,12,12,12,12,12
544,cw,11,11,11,11,11
545,cw,10,10,10,10,10
546,cw,11,11,11,11,11
547,cw,10,10,10,10,10
548,cw,12,12,12,12,12
549,cw,10,11,10,11,10
550,cw,10,10,10,10,10
551,cw,11,11,11,11,11
552,cw,11,11,11,11,11
553,cw,11,11,11,11,11
554,cw,10,10,10,10,10
555,cw,11,11,11,11,11
556,cw,10,10,10,10,10
557,cw,12,12,12,12,12
558,cw,10,10,10,10,10
559,cw,11,11,11,11,11
560,cw,10,10,10,10,10
561,cw,11,12,11,11,11
562,cw,11,10,9,10,10
563,cw,10,10,10,10,10
564,cw,10,10,10,10,10
565,cw,10,10,10,10,10
566,cw,10,10,10,10,10
567,cw,11,11,11,11,11
568,cw,10,10,10,10,10
569,cw,12,10,10,10,10
570,cw,11,11,11,11,11
571,cw,12,12,10,10,10
572,cw,9,9,9,9,9
573,cw,10,10,10,10,10
574,cw,10,10,10,10,10
575,cw,10,11,10,10,10
576,cw,10,10,10,10,10
577,cw,9,9,9,10,10
578,cw,10,10,10,10,10
579,cw,11,11,11,11,11
580,cw,10,10,10,10,10
581,cw,10,10,10,10,11
582,cw,12,12,12,12,12
583,cw,9,9,9,10,9
584,cw,10,10,10,10,10
585,cw,10,11,10,10,10
586,cw,11,11,11,11,11
587,cw,10,11,10,10,10
588,cw,11,11,11,11,11
589,cw,12,12,12,12,12
590,cw,11,11,11,11,11
591,cw,11,11,11,11,11
592,cw,10,10,10,10,10
593,cw,10,10,10,10,10
594,cw,12,12,12,12,12
595,cw,10,10,10,10,10
596,cw,10,10,10,10,10
597,cw,11,11,11,11,11
598,cw,10,10,10,10,10
599,cw,9,9,9,9,9
600,cw,11,11,11,11,11
601,cw,11,11,11,11,11
602,cw,10,10,10,10,10
603,cw,9,10,9,10,11
604,cw,12,12,12,12,12
605,cw,10,10,10,10,10
606,cw,10,10,10,11,10
607,cw,12,12,12,12,12
608,cw,12,12,12,12,12
609,cw,11,11,11,11,11
610,cw,10,10,10,10,10
611,cw,10,10,10,10,10
612,cw,11,12,11,12,11
613,cw,10,10,10,10,10
614,cw,10,10,10,10,10
615,cw,11,11,11,11,11
616,cw,10,9,9,9,9
617,cw,10,10,10,10,10
618,cw,10,10,10,11,10
